2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 35,0°C | Umid: 62,2% | Press: 992,9 hPa | Vento: 13,0 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 27,6°C | Umid: 44,5% | Press: 1019,6 hPa | Vento: 9,4 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 26,5°C | Umid: 56,3% | Press: 992,9 hPa | Vento: 9,5 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 28,4°C | Umid: 69,0% | Press: 1016,5 hPa | Vento: 2,0 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 30,6°C | Umid: 59,8% | Press: 1010,7 hPa | Vento: 6,3 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 25,2°C | Umid: 92,8% | Press: 991,9 hPa | Vento: 12,2 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 27,0°C | Umid: 80,9% | Press: 1009,7 hPa | Vento: 12,5 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 17,8°C | Umid: 35,6% | Press: 1019,1 hPa | Vento: 1,8 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 21,3°C | Umid: 66,9% | Press: 992,4 hPa | Vento: 6,3 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 29,3°C | Umid: 92,6% | Press: 1009,8 hPa | Vento: 7,5 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 31,4°C | Umid: 41,2% | Press: 998,9 hPa | Vento: 1,5 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 17,1°C | Umid: 98,4% | Press: 993,3 hPa | Vento: 13,5 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 16,3°C | Umid: 36,5% | Press: 1006,2 hPa | Vento: 11,3 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 23,2°C | Umid: 57,8% | Press: 1002,4 hPa | Vento: 13,8 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 30,3°C | Umid: 68,3% | Press: 1001,4 hPa | Vento: 0,8 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 28,6°C | Umid: 37,8% | Press: 1001,8 hPa | Vento: 0,6 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 16,0°C | Umid: 74,5% | Press: 1012,8 hPa | Vento: 4,1 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 30,7°C | Umid: 64,9% | Press: 1000,6 hPa | Vento: 6,6 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 17,8°C | Umid: 64,4% | Press: 1011,8 hPa | Vento: 4,5 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 28,4°C | Umid: 86,5% | Press: 982,6 hPa | Vento: 12,3 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 30,9°C | Umid: 79,4% | Press: 981,7 hPa | Vento: 4,6 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 15,7°C | Umid: 85,1% | Press: 1011,2 hPa | Vento: 1,2 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 19,7°C | Umid: 83,6% | Press: 1002,2 hPa | Vento: 4,0 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 23,1°C | Umid: 46,2% | Press: 1018,1 hPa | Vento: 12,3 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 30,7°C | Umid: 72,4% | Press: 994,8 hPa | Vento: 4,0 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 27,0°C | Umid: 56,3% | Press: 992,2 hPa | Vento: 11,1 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 32,0°C | Umid: 39,1% | Press: 1007,4 hPa | Vento: 13,2 m/s
2025-07-18 16:57:53 [INFO] [2025-07-18 16:57:53] Temp: 27,3°C | Umid: 78,0% | Press: 988,9 hPa | Vento: 9,7 m/s
